match_id,style_summary,formality,sentiment,topics,strengths,suggestions,estimated_readability_grade,word_count,unique_words,pct_standard_words,slang_ratio,avg_defs_per_known_word,pos_share_noun,pos_share_verb,pos_share_adj,pos_share_adv,synonym_hit_rate,top_unknown_words
0,,,,,,"[""dict features error: name 'build_dict_features' is not defined""]",,63,50,0.8,0.19999999999999996,7.95,0.46,0.26,0.12,0.1,0.525,"['book', 'bookstoring', 'brb', 'cool', 'itttt', 'looked', 'looks', 'omg', 'ooooooooooooo', 'up']"
1,,,,,,"[""dict features error: name 'build_dict_features' is not defined""]",,351,220,0.7090909090909091,0.2909090909090909,10.679487179487179,0.41818181818181815,0.3090909090909091,0.22727272727272727,0.1318181818181818,0.5256410256410257,"['cs', 'up', 'heyyyyy', 'im', 'over', 'anywaysss', 'baddieeeee', 'brooklyn', 'brought', 'can']"
2,,,,,,"[""dict features error: name 'build_dict_features' is not defined""]",,3,3,0.6666666666666666,0.33333333333333337,1.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5,['hihi']
3,,,,,,"[""dict features error: name 'build_dict_features' is not defined""]",,135,101,0.7524752475247525,0.24752475247524752,9.460526315789474,0.40594059405940597,0.32673267326732675,0.1782178217821782,0.15841584158415842,0.5263157894736842,"['about', 'lowkey', 'ones', 'aries', 'astrology', 'atcha', 'bed', 'believe', 'can', 'chill']"
4,,,,,,"[""dict features error: name 'build_dict_features' is not defined""]",,91,70,0.7857142857142857,0.2142857142857143,8.127272727272727,0.38571428571428573,0.2857142857142857,0.22857142857142856,0.14285714285714285,0.5454545454545454,"['omg', 'cool', 'hard', 'hi', 'lmaooo', 'lollll', 'lowkey', 'oooooo', 'plus', 'pretty']"
5,,,,,,"[""dict features error: name 'build_dict_features' is not defined""]",,145,99,0.7070707070707071,0.29292929292929293,12.2,0.41414141414141414,0.31313131313131315,0.24242424242424243,0.1717171717171717,0.5428571428571428,"['about', 'omg', 'bella', 'can', 'week', 'apocalypse', 'better', 'creepy', 'data', 'ds']"
6,,,,,,"[""dict features error: name 'build_dict_features' is not defined""]",,70,61,0.7049180327868853,0.29508196721311475,10.372093023255815,0.4426229508196721,0.29508196721311475,0.16393442622950818,0.14754098360655737,0.5813953488372093,"['broome', 'can', 'didn', 'factssss', 'forbid', 'god', 'gotta', 'lollll', 'medha', 'night']"
7,,,,,,"[""dict features error: name 'build_dict_features' is not defined""]",,10,10,0.4,0.6,4.0,0.1,0.1,0.0,0.1,0.25,"['behavior', 'obviiii', 'rn', 'should', 'unhinged', 'unmatch']"
8,,,,,,"[""dict features error: name 'build_dict_features' is not defined""]",,78,57,0.7543859649122807,0.24561403508771928,8.093023255813954,0.3333333333333333,0.2982456140350877,0.15789473684210525,0.10526315789473684,0.32558139534883723,"['love', 'rlly', 'awwwwwwwww', 'far', 'go', 'loveee', 'magic', 'mike', 'omg', 'oooooo']"
9,,,,,,"[""dict features error: name 'build_dict_features' is not defined""]",,7,7,0.7142857142857143,0.2857142857142857,8.4,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.0,0.6,"['hihi', 'mmmmmmmmmm']"
